,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aari McDonald,38,.412,.333,.429,.571,0.0,10.5,4.4,17.9,3.1,0.0,7.1,40.3,83,84,
1,Sam Thomas,38,.000,.000,.667,.000,5.0,17.5,10.2,0.0,1.5,2.4,0.0,4.3,36,83,
2,Bendu Yeaney,25,.200,.200,.200,.000,0.0,10.7,4.4,10.4,11.6,0.0,0.0,10.8,49,65,
3,Trinity Baptiste,23,.438,.438,.375,.000,0.0,23.2,9.7,29.5,0.0,0.0,11.1,21.2,84,87,
4,Cate Reese,18,.333,.333,.333,.000,5.3,0.0,3.1,0.0,3.2,0.0,25.0,24.1,55,87,
6,Shaina Pellington,30,.505,.417,.167,.500,3.2,26.7,13.0,0.0,5.8,0.0,6.4,28.2,100,72,
7,Helena Pueyo,17,.375,.375,.750,.000,0.0,15.7,6.5,0.0,0.0,0.0,0.0,12.7,76,89,
8,Lauren Ware,11,.000,.000,.000,.000,8.7,0.0,5.1,0.0,0.0,8.5,0.0,4.9,50,89,
9,School Totals,200,.387,.333,.367,.300,11.9,73.3,37.5,29.4,17.4,4.7,8.0,100.0,76.8,78.3,
