,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Gonzaga ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jenn Wirth,29,2,6,.333,2,5,.400,0,1,.000,5,6,.833,2,4,6,6,0,0,1,2,9
1,Kayleigh Truong,29,2,4,.500,1,1,1.000,1,3,.333,0,0,,1,0,1,3,0,0,3,2,5
2,Jill Townsend,27,7,11,.636,7,8,.875,0,3,.000,3,6,.500,0,6,6,0,1,0,6,2,17
3,Cierra Walker,27,1,4,.250,0,0,,1,4,.250,0,0,,0,4,4,1,1,0,1,1,3
4,LeeAnne Wirth,26,5,5,1.000,5,5,1.000,0,0,,0,0,,3,5,8,1,1,1,2,3,10
6,Abby O'Connor,19,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,4,4,0,0,0,1,1,8
7,Kaylynne Truong,18,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,2,2,4,0,0,4,0,3
8,Melody Kempton,17,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,1,2,2
9,Yvonne Ejim,6,1,3,.333,1,3,.333,0,0,,0,2,.000,2,0,2,0,1,1,0,1,2
10,Anamaria Virjoghe,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
11,School Totals,200,23,42,.548,18,27,.667,5,15,.333,8,14,.571,9,26,35,16,5,2,19,14,59
