,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Belmont ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Destinee Wells,38,7,20,.350,7,19,.368,0,1,.000,2,2,1.000,0,5,5,2,0,0,2,0,16
1,Jamilyn Kinney,38,0,5,.000,0,0,,0,5,.000,0,0,,0,1,1,3,0,0,3,1,0
2,Conley Chinn,37,3,11,.273,2,2,1.000,1,9,.111,0,0,,0,3,3,0,1,0,1,2,7
3,Tuti Jones,35,4,15,.267,2,7,.286,2,8,.250,0,1,.000,4,5,9,1,1,1,1,5,10
4,Allison Luly,11,0,0,,0,0,,0,0,,0,0,,2,4,6,1,0,0,1,5,0
6,Cam Browning,19,3,8,.375,3,7,.429,0,1,.000,1,2,.500,1,3,4,0,0,2,2,4,7
7,Blair Schoenwald,8,2,2,1.000,0,0,,2,2,1.000,0,0,,1,0,1,1,0,0,2,0,6
8,Nikki Baird,6,0,0,,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0
9,Maddie Cook,4,1,2,.500,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,1,0,2
10,Madison Bartley,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,5,0
11,School Totals,200,20,63,.317,15,37,.405,5,26,.192,3,5,.600,10,22,32,9,3,4,13,22,48
