,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Arizona ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Aari McDonald,38,7,16,.438,6,11,.545,1,5,.200,2,4,.500,3,8,11,3,4,1,3,2,17
1,Sam Thomas,36,2,10,.200,0,3,.000,2,7,.286,1,2,.500,0,5,5,0,3,2,1,1,7
2,Cate Reese,29,5,12,.417,3,10,.300,2,2,1.000,0,1,.000,4,1,5,0,1,0,1,2,12
3,Bendu Yeaney,27,1,2,.500,1,2,.500,0,0,,1,2,.500,1,0,1,0,0,0,0,1,3
4,Trinity Baptiste,24,3,11,.273,3,9,.333,0,2,.000,0,0,,5,6,11,2,1,0,1,5,6
6,Helena Pueyo,21,1,4,.250,1,1,1.000,0,3,.000,0,0,,0,2,2,2,1,0,1,0,2
7,Shaina Pellington,12,2,3,.667,2,3,.667,0,0,,1,4,.250,0,1,1,0,1,0,1,1,5
8,Lauren Ware,12,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0
9,School Totals,199,21,59,.356,16,40,.400,5,19,.263,5,13,.385,13,24,37,7,11,4,8,13,52
