,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Georgia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Hannah Nihill,35,.500,.500,.318,.000,2.9,3.4,3.1,27.3,3.5,0.0,4.3,33.8,111,109,
1,Hetta Saatman,35,.364,.364,.273,.000,8.8,13.4,11.0,11.8,3.5,5.0,15.4,19.1,80,102,
2,Keishana Washington,35,.270,.208,.417,.167,0.0,13.4,6.3,26.3,3.5,0.0,18.9,23.3,66,102,
3,Kate Connolly,18,.000,.000,.333,.000,5.7,13.1,9.1,9.3,3.4,0.0,25.0,11.4,22,103,
4,Mariah Leonard,17,.375,.375,.000,.000,36.2,13.8,25.8,0.0,0.0,0.0,0.0,24.2,105,110,
6,Kayla Bacon,31,.500,.500,.000,.000,6.6,7.6,7.1,6.0,2.0,0.0,33.3,9.9,79,110,
7,Brianne Borcky,17,.500,.500,.500,.000,6.0,0.0,3.2,0.0,7.2,0.0,33.3,9.1,74,104,
8,Tori Hyduke,11,.500,.500,.250,.000,0.0,10.7,5.0,21.7,0.0,0.0,20.0,23.3,89,112,
9,Jasmine Valentine,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,120,
10,School Totals,200,.396,.386,.273,.030,35.9,47.1,41.1,54.2,15.4,4.3,14.1,100.0,81.5,103.1,
