,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,West Virginia ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kirsten Deans,39,3,11,.273,2,5,.400,1,6,.167,4,4,1.000,0,1,1,5,2,0,4,4,11
1,Kysre Gondrezick,36,1,6,.167,0,3,.000,1,3,.333,0,0,,0,2,2,3,2,0,2,0,3
2,Jayla Hemingway,31,3,7,.429,2,3,.667,1,4,.250,0,0,,2,0,2,2,0,0,3,3,7
3,Esmery Martinez,30,5,10,.500,5,10,.500,0,0,,3,4,.750,2,7,9,0,1,1,3,5,13
4,Kari Niblack,30,5,7,.714,5,7,.714,0,0,,2,2,1.000,2,4,6,2,2,3,2,4,12
6,Blessing Ejiofor,19,2,4,.500,2,4,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,0,5
7,Jasmine Carson,10,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
8,Madisen Smith,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Taziah Jenks,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
10,Jeanna Cunningham,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,201,21,48,.438,17,33,.515,4,15,.267,10,12,.833,6,16,22,12,7,4,14,16,56
