,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Skyler Curran,34,.314,.263,.684,.368,2.9,26.6,13.3,7.7,0.0,0.0,12.0,37.5,60,132,
1,Jenson Edwards,33,.426,.318,.636,.364,0.0,11.7,5.1,7.4,0.0,0.0,13.6,22.8,77,137,
2,Jordan Edwards,28,.250,.250,.000,.000,0.0,0.0,0.0,46.2,1.9,0.0,33.3,10.9,70,137,
3,Claire Wyatt,26,.667,.667,.667,.000,3.8,9.9,6.5,10.0,2.0,0.0,0.0,11.7,133,133,
4,Chyna McMichel,17,.252,.200,.000,.400,5.9,7.6,6.6,0.0,3.1,0.0,14.5,20.6,52,131,
6,Cydney Johnson,24,.714,.714,.571,.000,0.0,16.1,7.0,0.0,0.0,0.0,12.5,17.0,111,135,
7,Miya Bull,14,.500,.500,.500,.000,0.0,0.0,0.0,0.0,3.7,0.0,0.0,7.3,95,133,
8,Callie Scheier,11,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.5,67,141,
9,Courtney Meadows,10,.508,.500,.000,1.000,0.0,12.9,5.6,25.0,0.0,0.0,25.8,19.7,85,136,
10,Teegan Pifher,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0,141,
11,Laimani Simmons,1,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,300,132,
12,School Totals,200,.433,.402,.557,.246,7.5,54.8,28.2,50.0,5.2,0.0,13.9,100.0,76.6,132.5,
