,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Kentucky ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Callie Bourne,33,.361,.227,.364,.545,0.0,30.9,16.1,6.2,4.8,0.0,12.8,23.0,72,83,
1,Estefania Ors,32,.455,.438,.625,.500,6.9,15.9,11.6,13.6,6.6,0.0,9.3,16.3,100,88,
2,Diaba Konate,30,.576,.583,.167,.333,0.0,6.8,3.5,20.9,5.3,0.0,17.9,27.1,98,96,
3,Dora Goles,28,.467,.467,.667,.000,3.9,7.3,5.7,28.6,1.9,0.0,21.1,33.0,82,104,
4,Ellie Smith,28,.404,.250,.000,.500,3.9,10.9,7.6,6.9,0.0,15.8,38.1,13.7,63,100,
6,Tomekia Whitman,21,.750,.750,.167,.000,15.8,9.7,12.6,0.0,2.5,0.0,25.0,18.5,113,101,
7,Delaney Moore,12,.000,.000,.000,.000,0.0,0.0,0.0,15.1,0.0,0.0,50.0,8.1,25,113,
8,Montana Oltrogge,10,.526,,,,0.0,0.0,0.0,0.0,5.3,0.0,53.2,9.1,53,101,
9,Carsyn Boswell,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,
10,Jordan Sweeney,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,
11,School Totals,199,.481,.447,.386,.316,19.4,61.5,41.3,45.5,17.1,11.1,20.6,100.0,82.9,93.4,
