,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Arizona ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ali Patberg,39,.449,.364,.273,.455,0.0,11.4,5.9,19.4,1.6,0.0,13.2,21.8,86,105,
1,Grace Berger,38,.444,.400,.000,.267,0.0,11.7,6.0,30.8,0.0,0.0,0.0,24.7,98,108,
2,Aleksa Gulbe,38,.216,.167,.333,.333,6.2,20.5,13.5,5.6,0.0,2.6,42.1,17.5,37,102,
3,Nicole Cardano-Hillary,37,.190,.000,.500,.667,0.0,12.0,6.2,0.0,1.6,0.0,20.5,14.8,33,104,
4,MacKenzie Holmes,36,.627,.600,.000,.133,6.5,18.5,12.7,0.0,0.0,13.9,0.0,24.7,128,96,
6,Keyanna Warthen,6,.000,.000,1.000,.000,0.0,18.5,9.5,0.0,0.0,0.0,0.0,9.3,0,105,
7,Kiandra Browne,4,.000,.000,.000,.000,29.4,0.0,14.3,50.0,0.0,0.0,0.0,14.0,71,114,
8,Paige Price,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,
9,Chloe Moore-McNeil,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,
10,Grace Waggoner,0,,,,,,,,,,,,,,,
11,School Totals,200,.420,.364,.164,.309,14.7,72.2,44.3,45.0,3.0,15.0,12.5,100.0,80.3,100.0,
