,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Texas A&M ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ashley Joens,43,.567,.478,.304,.478,9.5,32.7,23.3,18.9,1.3,0.0,15.2,37.5,111,96,
1,Lexi Donarski,43,.602,.571,.571,.143,6.3,2.2,3.9,15.9,0.0,0.0,16.8,20.4,113,111,
2,Emily Ryan,43,.500,.500,.500,.000,0.0,6.5,3.9,43.2,0.0,0.0,33.3,17.1,97,109,
3,Kylie Feuerbach,34,.500,.500,.667,.000,0.0,19.3,11.4,5.7,0.0,0.0,33.3,13.0,69,105,
4,Kristin Scott,13,1.111,1.125,1.000,.500,0.0,14.4,8.5,22.2,4.2,0.0,17.0,22.2,161,98,
6,Madison Wise,25,.000,.000,.500,.000,5.5,11.3,8.9,6.9,2.2,0.0,50.0,7.9,31,103,
7,Morgan Kane,20,.333,.333,.000,.000,27.3,18.8,22.2,9.5,0.0,0.0,40.0,12.3,83,105,
8,Aubrey Joens,3,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,300,112,
9,Rae Johnson,1,.000,.000,.000,.000,0.0,0.0,0.0,100.0,0.0,70.3,0.0,49.1,71,57,
10,School Totals,225,.576,.531,.469,.234,30.3,72.9,55.6,76.9,3.7,1.6,22.8,100.0,100.0,102.4,
