,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,NaLyssa Smith,26,8,9,.889,8,9,.889,0,0,,2,4,.500,1,9,10,2,3,1,3,0,18
1,Moon Ursin,24,9,14,.643,6,10,.600,3,4,.750,3,4,.750,2,4,6,3,1,2,2,2,24
2,Queen Egbo,22,2,5,.400,2,5,.400,0,0,,6,6,1.000,1,3,4,0,3,1,3,0,10
3,DiDi Richards,21,2,5,.400,2,5,.400,0,0,,0,0,,0,3,3,4,0,0,1,0,4
4,Trinity Oliver,16,2,4,.500,2,4,.500,0,0,,1,2,.500,2,2,4,1,0,0,2,2,5
6,Jordyn Oliver,20,6,11,.545,6,11,.545,0,0,,2,4,.500,4,3,7,3,4,1,1,3,14
7,Caitlin Bickle,18,2,5,.400,1,3,.333,1,2,.500,0,0,,2,4,6,0,0,1,0,3,5
8,DiJonai Carrington,16,3,10,.300,2,5,.400,1,5,.200,3,5,.600,1,2,3,1,3,1,1,1,10
9,Sarah Andrews,15,3,7,.429,2,5,.400,1,2,.500,0,0,,1,3,4,0,0,0,2,2,7
10,Hannah Gusters,14,1,5,.200,1,5,.200,0,0,,0,0,,4,1,5,0,0,1,0,2,2
11,Jaden Owens,8,0,2,.000,0,0,,0,2,.000,2,2,1.000,0,2,2,3,1,0,1,0,2
12,School Totals,200,38,77,.494,32,62,.516,6,15,.400,19,27,.704,18,36,54,17,15,8,16,15,101
