,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kirsten Deans,37,.798,.750,.300,.400,0.0,22.8,13.9,24.1,4.3,0.0,20.3,20.2,139,68,
1,Kysre Gondrezick,36,.815,.800,.533,.133,0.0,20.5,12.5,27.8,5.9,0.0,23.9,29.4,128,65,
2,Esmery Martinez,33,.672,.700,.000,.400,15.2,25.5,21.5,16.9,3.2,0.0,29.8,25.8,106,70,
3,Jayla Hemingway,33,.300,.300,.400,.000,0.0,12.8,7.8,0.0,0.0,0.0,28.6,10.8,45,82,
4,Kari Niblack,27,.531,.500,.000,.125,6.2,3.9,4.8,6.2,0.0,9.3,0.0,15.9,123,79,
6,Blessing Ejiofor,17,.667,.667,.000,.000,19.6,24.8,22.8,9.3,3.1,14.7,50.0,17.9,83,61,
7,Jasmine Carson,13,.000,.000,.500,.000,0.0,8.1,5.0,0.0,4.1,0.0,0.0,15.6,0,74,
8,Taziah Jenks,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,86,
9,Jeanna Cunningham,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.4,0,86,
10,School Totals,200,.639,.618,.273,.200,25.0,86.8,62.9,50.0,14.5,12.5,24.0,100.0,101.3,69.7,
