,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisville ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Hailey Van Lith,27,7,11,.636,5,6,.833,2,5,.400,1,1,1.000,0,1,1,4,1,1,2,1,17
1,Dana Evans,27,6,16,.375,5,8,.625,1,8,.125,2,2,1.000,0,2,2,1,0,0,4,3,15
2,Kianna Smith,24,3,7,.429,0,2,.000,3,5,.600,0,0,,1,4,5,1,1,0,2,3,9
3,Mykasa Robinson,20,3,5,.600,3,5,.600,0,0,,1,1,1.000,3,4,7,4,2,1,0,1,7
4,Olivia Cochran,15,1,5,.200,1,4,.250,0,1,.000,0,0,,1,4,5,1,0,1,2,2,2
6,Ahlana Smith,22,3,4,.750,2,2,1.000,1,2,.500,0,0,,0,3,3,2,1,0,0,2,7
7,Norika Konno,19,1,6,.167,0,2,.000,1,4,.250,2,2,1.000,0,3,3,1,6,0,1,3,5
8,Elizabeth Balogun,17,1,5,.200,0,1,.000,1,4,.250,2,2,1.000,0,3,3,0,0,2,2,3,5
9,Elizabeth Dixon,13,1,2,.500,1,2,.500,0,0,,0,0,,2,3,5,2,0,2,1,3,2
10,Merissah Russell,7,0,0,,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,0,0
11,Ramani Parker,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
12,Malea Williams,4,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,1,1,5
13,School Totals,201,28,63,.444,18,33,.545,10,30,.333,8,8,1.000,8,30,38,16,11,8,16,23,74
