,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ashley Owusu,26,.692,.679,.071,.286,18.6,14.3,16.2,53.4,0.0,0.0,11.3,31.0,151,73,
1,Katie Benzan,26,.833,.833,.667,.000,0.0,7.2,4.0,19.9,2.2,0.0,0.0,5.2,197,74,
2,Chloe Bibby,25,.481,.450,.300,.300,19.4,26.0,23.2,0.0,4.5,12.8,0.0,20.5,138,48,
3,Mimi Collins,24,.678,.500,.167,1.000,5.1,15.5,11.0,0.0,2.3,0.0,25.8,22.0,116,67,
4,Diamond Miller,20,.736,.682,.273,.364,0.0,14.0,7.9,20.0,2.8,8.0,13.6,33.5,141,65,
6,Alaysia Styles,24,.672,.600,.000,.400,15.2,11.6,13.2,5.7,7.0,0.0,25.4,14.9,123,58,
7,Faith Masonius,24,.505,.500,.000,.500,5.1,19.4,13.2,16.3,2.3,0.0,0.0,9.2,147,63,
8,Zoe Young,11,.000,.000,1.000,.000,0.0,0.0,0.0,42.8,5.1,0.0,0.0,8.2,115,73,
9,Angel Reese,10,.448,.250,.000,1.125,48.5,18.6,31.6,0.0,0.0,16.0,7.7,58.8,123,65,
10,Taisiya Kozlova,10,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,250,86,
11,School Totals,200,.618,.562,.200,.462,51.5,69.8,61.8,61.8,13.9,16.0,11.2,100.0,136.1,62.5,
