,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Owusu,26,9,14,.643,8,13,.615,1,1,1.000,3,4,.750,4,4,8,7,0,0,2,2,22
1,Katie Benzan,26,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,2,2,4,1,0,0,0,5
2,Chloe Bibby,25,4,10,.400,3,7,.429,1,3,.333,2,3,.667,4,7,11,0,2,2,0,2,11
3,Mimi Collins,24,3,6,.500,3,5,.600,0,1,.000,6,6,1.000,1,4,5,0,1,0,3,1,12
4,Diamond Miller,20,7,11,.636,6,8,.750,1,3,.333,4,4,1.000,0,3,3,2,1,1,2,1,19
6,Alaysia Styles,24,3,5,.600,3,5,.600,0,0,,2,2,1.000,3,3,6,1,3,0,2,1,8
7,Faith Masonius,24,2,4,.500,2,4,.500,0,0,,1,2,.500,1,5,6,3,1,0,0,1,5
8,Zoe Young,11,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,4,1,0,0,0,0
9,Angel Reese,10,2,8,.250,2,8,.250,0,0,,7,9,.778,4,2,6,0,0,1,1,1,11
10,Taisiya Kozlova,10,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5
11,School Totals,200,34,65,.523,29,52,.558,5,13,.385,25,30,.833,17,30,47,21,10,4,10,10,98
