,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisville ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Veronica Burton,40,.452,.417,.417,.417,5.0,6.4,5.6,31.1,2.9,0.0,6.6,19.7,102,100,
1,Lindsey Pulliam,40,.155,.091,.000,.364,0.0,12.8,5.6,10.5,4.4,2.9,7.3,17.8,40,92,
2,Jordan Hamilton,38,.474,.441,.529,.118,2.6,13.5,7.4,15.3,1.5,0.0,14.4,28.5,85,99,
3,Sydney Wood,35,.333,.333,.000,.000,8.5,14.7,11.2,25.7,3.3,6.7,25.0,11.9,79,92,
4,Paige Mott,8,.333,.333,.000,.000,0.0,64.2,28.0,0.0,0.0,0.0,25.0,25.9,48,76,
6,Courtney Shaw,31,.418,.455,.000,.182,9.6,8.3,9.0,0.0,3.8,11.3,14.4,23.2,75,93,
7,Lauryn Satterwhite,7,1.500,1.500,1.000,.000,0.0,0.0,0.0,39.7,0.0,0.0,0.0,7.4,282,110,
8,School Totals,199,.394,.377,.246,.213,22.5,64.5,40.8,70.0,14.7,17.6,13.0,100.0,77.9,91.2,
