,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisville ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dana Evans,35,5,17,.294,3,7,.429,2,10,.200,2,4,.500,0,2,2,2,2,0,1,4,14
1,Kianna Smith,33,5,10,.500,3,5,.600,2,5,.400,4,4,1.000,1,5,6,2,0,0,2,1,16
2,Hailey Van Lith,30,4,4,1.000,2,2,1.000,2,2,1.000,3,3,1.000,0,0,0,1,1,0,4,3,13
3,Mykasa Robinson,30,1,4,.250,1,4,.250,0,0,,2,2,1.000,3,6,9,1,1,1,3,2,4
4,Olivia Cochran,29,3,9,.333,3,9,.333,0,0,,7,9,.778,5,10,15,1,0,1,2,0,13
6,Elizabeth Dixon,13,1,4,.250,1,4,.250,0,0,,0,0,,1,4,5,0,0,0,1,1,2
7,Elizabeth Balogun,13,0,2,.000,0,1,.000,0,1,.000,0,0,,0,4,4,2,0,2,1,1,0
8,Ahlana Smith,10,0,2,.000,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0
9,Norika Konno,8,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,2,1,0
10,School Totals,201,19,53,.358,13,34,.382,6,19,.316,18,22,.818,11,31,42,10,4,4,16,14,62
