,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kiana Williams,38,.408,.400,.733,.133,0.0,11.6,5.2,18.4,2.9,0.0,15.9,24.9,84,90,
1,Anna Wilson,35,1.100,1.100,.600,.000,0.0,16.8,7.6,15.2,3.2,3.0,28.6,10.0,147,87,
2,Haley Jones,33,.631,.615,.231,.077,0.0,22.3,10.1,13.0,1.7,0.0,18.2,25.0,105,91,
3,Cameron Brink,27,.678,.750,.167,1.000,17.9,27.3,22.1,14.0,0.0,19.4,18.8,19.8,128,80,
4,Lexie Hull,18,.384,.389,.222,.333,0.0,8.2,3.7,10.9,3.1,0.0,16.2,34.4,71,90,
6,Francesca Belibi,15,.500,.500,.000,.000,24.1,9.8,17.7,12.2,0.0,0.0,42.9,23.4,80,97,
7,Hannah Jump,12,.000,.000,1.000,.000,0.0,24.6,11.1,12.3,0.0,0.0,0.0,8.4,39,94,
8,Ashten Prechtel,11,.833,.833,.667,.000,0.0,0.0,0.0,18.3,5.0,0.0,25.0,18.3,121,88,
9,Lacie Hull,10,1.500,1.500,1.000,.000,12.1,0.0,6.6,17.3,0.0,0.0,0.0,5.0,272,100,
10,School Totals,199,.573,.578,.431,.207,24.2,77.8,48.3,59.3,9.7,15.8,20.1,100.0,101.4,86.1,
