,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Georgia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Maddie Scherr,38,.000,.000,.000,.000,0.0,6.0,3.5,28.9,4.9,2.3,55.6,13.7,37,80,
1,Sedona Prince,37,.672,.643,.143,.357,4.3,12.4,9.1,8.9,3.3,9.2,5.8,27.0,131,76,
2,Erin Boley,37,.503,.500,.375,.250,4.3,6.2,5.4,5.8,3.3,0.0,10.1,15.5,99,84,
3,Taylor Mikesell,34,.696,.667,.667,.667,0.0,16.9,9.9,25.6,1.8,0.0,27.9,18.4,110,81,
4,Nyara Sabally,30,.518,.536,.071,.071,16.1,23.0,20.1,31.9,4.1,0.0,21.7,35.7,90,73,
6,Sydney Parrish,14,.000,.000,1.000,.000,0.0,16.4,9.6,0.0,0.0,0.0,0.0,8.3,0,86,
7,Taylor Chavez,8,,,,,0.0,28.7,16.8,0.0,0.0,0.0,100.0,14.5,0,79,
8,Angela Dugalic,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,92,
9,Lydia Giomi,1,,,,,100.0,0.0,67.0,0.0,0.0,0.0,,0.0,217,95,
10,School Totals,201,.531,.510,.250,.250,24.0,65.7,48.3,68.2,15.4,10.6,23.0,100.0,87.7,76.9,
