,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Dana Evans,39,.608,.595,.381,.286,3.0,2.8,2.9,7.0,1.7,0.0,7.8,36.4,123,81,
1,Kianna Smith,32,.550,.550,.200,.000,7.4,10.2,8.8,12.7,0.0,0.0,9.1,19.0,118,79,
2,Hailey Van Lith,32,.444,.444,.333,.000,7.4,17.0,12.4,6.0,4.2,0.0,10.0,17.3,98,65,
3,Mykasa Robinson,23,.333,.333,.000,.000,10.3,23.6,17.2,7.2,2.9,0.0,0.0,7.2,110,62,
4,Olivia Cochran,20,.143,.143,.000,.000,11.8,21.7,17.0,8.4,0.0,0.0,0.0,19.4,58,70,
6,Elizabeth Dixon,20,.250,.250,.000,.000,0.0,10.9,5.7,0.0,3.3,5.3,0.0,22.1,61,69,
7,Elizabeth Balogun,16,.250,.250,.250,.000,0.0,20.4,10.6,32.1,4.2,13.2,20.0,17.3,70,57,
8,Norika Konno,14,1.000,1.000,.000,.000,16.9,0.0,8.1,12.4,0.0,0.0,50.0,7.9,120,87,
9,Ahlana Smith,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.4,0,87,
10,Merissah Russell,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,87,
11,Malea Williams,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,87,
12,School Totals,201,.456,.444,.222,.095,32.4,62.2,47.9,38.5,10.0,7.9,9.6,100.0,100.0,70.0,
