,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,South Carolina ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aleah Goodman,38,.333,.333,.400,.000,0.0,11.1,5.3,45.8,1.5,0.0,16.7,26.1,64,92,
1,Taya Corosdale,36,.000,.000,1.000,.000,0.0,8.8,4.2,12.3,3.2,2.4,0.0,4.6,25,88,
2,Sasha Goforth,34,.375,.375,.125,.000,2.9,9.3,6.0,8.1,1.7,5.0,33.3,19.4,52,90,
3,Ellie Mack,21,.000,.000,1.000,.000,0.0,10.0,4.8,10.6,0.0,4.1,37.5,21.0,5,94,
4,Taylor Jones,18,.569,.600,.000,.300,5.4,17.5,11.3,0.0,0.0,9.5,0.0,34.6,108,86,
6,Talia von Oelhoffen,18,.188,.188,.500,.000,5.4,23.4,14.1,14.1,3.2,0.0,20.0,30.6,37,82,
7,Savannah Samuel,13,.606,.500,.000,.500,0.0,8.1,3.9,0.0,4.5,0.0,29.1,14.6,83,87,
8,Jelena Mitrovic,12,.420,.400,.000,.400,16.3,26.3,21.1,0.0,0.0,0.0,0.0,27.0,92,87,
9,Jasmine Simmons,10,1.000,1.000,.000,.000,0.0,31.6,15.2,0.0,0.0,17.0,0.0,5.5,200,76,
10,School Totals,200,.351,.342,.333,.105,12.2,68.4,39.2,61.1,8.7,17.0,17.8,100.0,60.9,85.5,
