,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Owusu,37,4,9,.444,4,8,.500,0,1,.000,2,3,.667,0,4,4,5,0,0,3,3,10
1,Diamond Miller,34,7,15,.467,6,11,.545,1,4,.250,6,7,.857,1,7,8,2,0,2,1,3,21
2,Mimi Collins,34,2,4,.500,2,2,1.000,0,2,.000,0,0,,1,4,5,2,0,0,1,2,4
3,Chloe Bibby,31,6,12,.500,4,5,.800,2,7,.286,0,0,,2,3,5,0,1,1,2,3,14
4,Katie Benzan,31,2,9,.222,0,2,.000,2,7,.286,0,0,,0,5,5,5,2,0,0,4,6
6,Faith Masonius,16,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,0,1,0,2,1,4
7,Angel Reese,9,0,6,.000,0,5,.000,0,1,.000,0,0,,4,1,5,2,0,0,2,2,0
8,Alaysia Styles,8,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,2
9,School Totals,200,24,60,.400,19,38,.500,5,22,.227,8,10,.800,10,24,34,16,5,3,11,19,61
