,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Troy ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tiyah Johnson,38,3,11,.273,2,3,.667,1,8,.125,1,1,1.000,3,4,7,1,0,1,2,4,8
1,Janiah Sandifer,37,3,11,.273,0,2,.000,3,9,.333,2,3,.667,0,2,2,4,0,0,1,1,11
2,Felmas Koranga,33,9,13,.692,9,12,.750,0,1,.000,2,5,.400,4,7,11,0,1,1,1,2,20
3,Alexus Dye,27,12,22,.545,12,22,.545,0,0,,2,2,1.000,3,8,11,0,3,1,4,5,26
4,Jasmine Robinson,23,1,12,.083,1,7,.143,0,5,.000,2,2,1.000,1,2,3,5,1,0,3,4,4
6,Sharonica Hartsfield,16,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,2,0,0,2,3,2
7,Tyasia Moore,14,3,7,.429,3,7,.429,0,0,,1,2,.500,5,3,8,0,0,0,4,5,7
8,Jhileiya Dunlap,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,2
9,Emely Rosario,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
10,School Totals,199,32,77,.416,28,54,.519,4,23,.174,12,17,.706,16,27,43,12,5,4,18,25,80
