,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aaliyah Wilson,36,.375,.375,.000,.000,2.9,7.4,5.3,28.4,7.8,0.0,5.9,20.1,95,87,
1,Jordan Nixon,32,.761,.700,.400,.800,0.0,11.1,6.0,11.0,1.5,0.0,34.1,27.3,104,99,
2,N'dea Jones,32,.464,.333,.000,.667,9.8,19.3,15.0,4.7,0.0,2.3,14.7,18.1,100,97,
3,Kayla Wells,31,.409,.409,.182,.000,3.4,0.0,1.5,0.0,0.0,0.0,0.0,15.1,96,107,
4,Ciera Johnson,29,.503,.500,.000,.286,21.7,24.4,23.1,6.7,0.0,2.5,0.0,23.1,124,94,
6,Destiny Pitts,14,.714,.500,.667,1.333,0.0,25.3,13.7,0.0,0.0,0.0,0.0,14.5,168,95,
7,Zaay Green,14,.333,.333,.333,.000,0.0,12.6,6.9,0.0,3.3,0.0,14.3,21.3,63,94,
8,Alexis Morris,7,.506,.333,.000,.667,0.0,12.6,6.9,23.4,0.0,0.0,0.0,23.6,126,101,
9,McKinzie Green,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107,
10,School Totals,199,.504,.444,.139,.333,28.9,64.4,48.2,36.7,9.4,3.7,11.7,100.0,98.8,94.1,
