,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,UC Davis ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kayla Konrad,39,5,14,.357,2,8,.250,3,6,.500,0,0,,0,1,1,1,0,0,0,1,13
1,Cierra Hall,38,4,8,.500,0,2,.000,4,6,.667,2,3,.667,2,6,8,4,3,1,6,4,14
2,Mackenzie Trpcic,38,1,8,.125,0,5,.000,1,3,.333,0,0,,2,6,8,6,2,0,6,4,3
3,Evanne Turner,35,6,16,.375,2,6,.333,4,10,.400,0,0,,2,3,5,3,0,0,2,5,16
4,Sage Stobbart,34,2,11,.182,1,6,.167,1,5,.200,0,0,,1,5,6,0,1,5,2,1,5
6,Mazatlan Harris,7,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
7,Bria Shine,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
8,Lena Svanholm,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Emma Gibb,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Allie Carreon,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,18,58,.310,5,27,.185,13,31,.419,2,3,.667,7,22,29,14,6,6,16,17,51
