,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oklahoma State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jewel Spear,38,.423,.423,.692,.000,9.3,3.4,6.5,0.0,0.0,2.4,7.1,19.0,90,128,
1,Gina Conti,37,.457,.400,.500,.200,3.2,13.9,8.3,46.9,4.6,0.0,21.6,19.4,100,117,
2,Ivana Raca,36,.382,.382,.353,.000,0.0,35.8,17.1,12.8,7.9,0.0,19.0,30.1,67,105,
3,Christina Morra,33,.566,.571,.000,.286,3.6,7.8,5.6,0.0,0.0,0.0,11.3,27.8,101,129,
4,Alexandria Scruggs,19,.500,.500,.500,.000,6.2,6.8,6.5,0.0,0.0,0.0,33.3,8.1,76,130,
6,Olivia Summiel,17,1.500,1.500,1.000,.000,6.9,15.2,10.9,21.7,0.0,0.0,0.0,3.0,263,127,
7,Kaia Harrison,9,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.9,44,131,
8,DeMeara Hinds,5,.000,.000,.000,.000,0.0,77.4,36.9,0.0,0.0,0.0,0.0,10.3,0,114,
9,Nevaeh Brown,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,131,
10,Aliah McWhorter,1,1.053,,,,100.0,0.0,61.5,0.0,0.0,0.0,0.0,45.4,244,131,
11,Malaya Cowles,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,127,
12,Mckenzie Maier,1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,0,131,
13,Elise Williams,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,131,
14,School Totals,200,.471,.451,.377,.131,23.5,74.2,47.7,54.2,11.4,2.3,16.7,100.0,87.1,120.0,
