,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oregon ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nyara Sabally,48,12,24,.500,12,23,.522,0,1,.000,7,8,.875,4,8,12,3,3,7,2,3,31
1,Endyia Rogers,42,2,8,.250,2,6,.333,0,2,.000,2,4,.500,1,5,6,5,1,0,2,4,6
2,Te-Hina Paopao,41,8,17,.471,6,9,.667,2,8,.250,0,0,,2,4,6,2,2,1,5,3,18
3,Sedona Prince,36,4,10,.400,4,9,.444,0,1,.000,1,2,.500,4,5,9,2,0,1,2,2,9
4,Sydney Parrish,14,0,4,.000,0,2,.000,0,2,.000,0,0,,2,1,3,0,0,0,0,0,0
6,Maddie Scherr,40,1,6,.167,0,3,.000,1,3,.333,0,0,,1,4,5,3,1,0,2,3,3
7,Kylee Watson,16,0,1,.000,0,1,.000,0,0,,0,0,,1,4,5,0,0,3,2,2,0
8,Ahlise Hurst,9,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,0,0,0,2,1,3
9,Chanaya Pinto,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
10,School Totals,250,28,74,.378,24,53,.453,4,21,.190,10,14,.714,15,34,49,15,7,12,17,18,70
