,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Diamond Battles,40,.449,.364,.455,.455,0.0,0.0,0.0,0.0,0.0,0.0,13.2,21.2,88,100,
1,Tay Sanders,39,.559,.625,.250,.250,8.5,14.1,11.6,17.2,1.6,0.0,31.1,18.4,83,89,
2,Destiny Thomas,26,.303,.250,.000,.500,6.4,31.8,20.3,0.0,0.0,10.3,38.1,16.9,44,79,
3,Masseny Kaba,23,.314,.286,.143,.286,14.5,12.0,13.1,41.7,2.7,5.8,38.8,31.2,56,84,
4,Shania Meertens,13,.127,.000,.000,.667,12.8,10.6,11.6,0.0,0.0,0.0,20.5,20.9,32,95,
6,Alisha Lewis,28,.833,.833,.667,.000,0.0,19.7,10.8,43.5,4.5,0.0,25.0,8.0,142,79,
7,Brittney Smith,21,.486,.500,.000,.875,7.9,26.3,18.0,0.0,0.0,0.0,8.3,32.0,96,87,
8,Neila Luma,10,.000,.000,.000,.000,0.0,13.8,7.5,0.0,0.0,0.0,0.0,11.1,0,92,
9,School Totals,200,.423,.402,.217,.435,29.2,75.9,54.7,56.3,6.3,10.0,23.4,100.0,73.4,81.3,
