,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Charlotte ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,KeKe McKinney,37,0,4,.000,0,3,.000,0,1,.000,0,0,,0,7,7,2,0,0,1,3,0
1,Jada McMillian,36,4,9,.444,4,9,.444,0,0,,0,0,,0,0,0,2,1,0,6,1,8
2,Octavia Jett-Wilson,34,7,14,.500,7,12,.583,0,2,.000,5,6,.833,0,1,1,1,1,0,2,2,19
3,Mikayla Boykin,30,4,15,.267,4,11,.364,0,4,.000,1,1,1.000,0,7,7,2,0,1,2,1,9
4,Molina Williams,20,1,4,.250,0,3,.000,1,1,1.000,1,2,.500,1,3,4,0,0,0,2,3,4
6,Dazia Lawrence,16,3,5,.600,3,5,.600,0,0,,1,2,.500,1,1,2,0,0,0,1,2,7
7,Jacee Busick,14,0,1,.000,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,0,2,0
8,Angel Middleton,7,1,2,.500,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3
9,Aylesha Wade,2,0,0,,0,0,,0,0,,1,4,.250,0,1,1,0,0,0,0,0,1
10,Kameron Roach,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Mya McGraw,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,199,20,54,.370,19,46,.413,1,8,.125,10,17,.588,4,24,28,7,2,1,14,16,51
