,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Haley Jones,40,.428,.381,.238,.238,7.4,23.0,14.5,20.2,1.4,0.0,7.9,30.6,94,89,
1,Lacie Hull,40,.375,.375,.500,.000,0.0,25.8,11.9,4.6,2.8,0.0,0.0,4.9,92,84,
2,Lexie Hull,37,.154,.167,.333,.167,2.6,3.1,2.9,0.0,4.5,0.0,18.9,20.9,31,92,
3,Cameron Brink,27,.472,.429,.071,.286,10.9,17.0,13.7,0.0,6.1,6.9,11.3,32.0,94,78,
4,Anna Wilson,16,.256,.000,1.000,2.000,6.1,0.0,3.3,21.8,3.4,0.0,0.0,5.7,104,96,
6,Hannah Jump,21,.500,.500,.800,.000,4.7,0.0,2.5,20.0,0.0,0.0,28.6,16.2,84,103,
7,Ashten Prechtel,9,.500,.500,1.000,.000,0.0,12.8,5.9,31.8,0.0,10.4,0.0,32.4,114,93,
8,Francesca Belibi,8,.667,.667,.000,.000,12.3,0.0,6.6,0.0,0.0,0.0,25.0,24.3,97,103,
9,Agnes Emma-Nnopu,1,,,,,0.0,0.0,0.0,100.0,55.2,0.0,,0.0,217,-21,
10,Kiki Iriafen,1,,,,,98.0,0.0,52.9,0.0,0.0,0.0,100.0,48.6,34,101,
11,Jana Van Gytenbeek,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,104,
12,School Totals,201,.402,.379,.348,.197,26.8,65.7,44.7,43.5,15.1,7.0,13.2,100.0,79.5,86.3,
