,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jaylyn Sherrod,34,.777,.800,.267,.333,0.0,21.9,9.7,34.8,3.2,0.0,10.4,27.8,145,117,
1,Frida Formann,32,.167,.167,.333,.000,0.0,9.3,4.1,17.5,1.7,0.0,0.0,9.2,74,123,
2,Mya Hollingshed,31,.418,.412,.353,.118,7.6,14.4,10.6,5.8,0.0,6.8,5.3,30.0,95,121,
3,Peanut Tuitele,26,.576,.500,.167,.333,18.2,28.6,22.8,18.3,2.1,0.0,12.7,14.9,132,118,
4,Lesila Finau,26,.333,.333,.000,.000,4.5,11.5,7.6,0.0,0.0,4.1,25.0,7.6,65,124,
6,Kindyll Wetta,26,.286,.286,.357,.000,4.5,5.7,5.1,13.0,6.4,0.0,6.7,28.4,72,113,
7,Quay Miller,22,.674,.571,.143,.571,16.1,13.5,15.0,8.1,2.5,4.8,18.6,24.1,125,117,
8,Tayanna Jones,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,129,
9,Kylee Blacksten,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,128,
10,School Totals,201,.499,.471,.279,.191,32.4,74.1,50.8,53.3,11.0,10.5,9.7,100.0,101.4,115.1,
