,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Rori Harmon,33,.406,.444,.222,.778,0.0,4.8,2.0,65.3,3.4,0.0,14.2,20.5,104,79,
1,Audrey Warren,32,.576,.667,.000,.333,3.5,19.8,10.3,6.2,7.1,0.0,22.5,13.3,91,69,
2,Joanne Allen-Taylor,27,.583,.583,.167,.000,0.0,5.9,2.4,7.1,2.1,0.0,0.0,10.7,135,82,
3,Lauren Ebo,17,.719,.667,.000,.333,13.3,46.6,27.2,0.0,0.0,0.0,12.7,22.3,134,80,
4,Shay Holle,16,.000,.000,.250,.000,0.0,9.9,4.1,0.0,0.0,0.0,33.3,18.0,0,86,
6,Aliyah Matharu,24,.504,.500,.667,.333,4.7,6.6,5.5,15.2,7.1,5.0,22.5,17.8,95,67,
7,Aaliyah Moore,19,.766,.571,.000,1.429,35.7,33.3,34.7,12.5,3.0,0.0,0.0,28.8,185,76,
8,Latasha Lattimore,13,.297,.286,.000,.429,26.1,36.6,30.5,0.0,0.0,9.2,19.4,38.1,66,75,
9,DeYona Gaston,9,.200,.200,.000,.000,12.6,0.0,7.3,0.0,0.0,0.0,16.7,32.0,49,88,
10,Kyndall Hunter,8,.750,.750,1.000,.000,0.0,39.6,16.5,0.0,0.0,0.0,33.3,18.0,87,82,
11,Femme Masudi,0,,,,,,,,,,,,,,,
12,School Totals,198,.498,.466,.172,.448,40.0,88.0,60.0,64.0,15.7,6.1,15.6,100.0,100.0,74.3,
