,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Iowa State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Joens,39,5,14,.357,3,8,.375,2,6,.333,0,0,,1,9,10,1,3,0,1,1,12
1,Lexi Donarski,38,5,13,.385,1,4,.250,4,9,.444,6,6,1.000,0,3,3,1,1,1,2,3,20
2,Emily Ryan,38,5,13,.385,3,10,.300,2,3,.667,3,4,.750,1,5,6,9,3,1,4,1,15
3,Morgan Kane,22,4,11,.364,4,10,.400,0,1,.000,2,3,.667,3,3,6,0,1,0,1,1,10
4,Nyamer Diew,20,1,3,.333,0,1,.000,1,2,.500,2,3,.667,0,3,3,2,0,1,1,1,5
6,Maggie Espenmiller-McGraw,13,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
7,Izzi Zingaro,10,1,3,.333,1,3,.333,0,0,,0,0,,0,7,7,0,0,0,1,0,2
8,Aubrey Joens,9,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0
9,Beatriz Jordao,8,0,0,,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,1,1,1
10,Maddie Frederick,2,1,1,1.000,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,2
11,Maggie Vick,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,22,60,.367,13,37,.351,9,23,.391,14,20,.700,7,31,38,13,8,3,12,8,67
