,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ioanna Chatzileonti,37,.581,.591,.091,.364,14.4,19.1,16.9,4.6,1.5,2.6,0.0,17.6,138,84,
1,Holly Kersgieter,32,.618,.577,.308,.385,4.2,14.7,9.8,11.1,3.5,3.0,11.6,27.4,123,80,
2,Zakiyah Franklin,32,.402,.389,.222,.222,4.2,11.0,7.8,14.3,0.0,0.0,9.2,17.3,97,91,
3,Taiyanna Jackson,24,.700,.700,.000,.000,16.7,19.6,18.2,9.1,0.0,8.1,23.1,27.6,114,82,
4,Julie Brosseau,14,.200,.200,.400,.000,0.0,8.4,4.5,10.5,0.0,0.0,0.0,18.2,60,92,
6,Aniya Thomas,22,.281,.143,.714,.571,0.0,10.7,5.7,6.5,0.0,0.0,0.0,20.3,76,92,
7,Chandler Prater,19,.863,.833,.000,.333,0.0,31.0,16.4,43.2,3.0,5.1,30.4,26.5,127,75,
8,Danai Papadopoulou,14,1.000,1.000,.000,.000,0.0,16.8,8.9,0.0,4.0,7.0,0.0,3.6,200,74,
9,Nadira Eltayeb,3,,,,,0.0,39.2,20.8,0.0,0.0,0.0,,0.0,,84,
10,Katrine Jessen,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,93,
11,School Totals,200,.549,.524,.226,.274,30.0,82.4,57.8,43.3,7.0,14.6,11.4,100.0,108.5,81.7,
