,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Gonzaga ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Cierra Walker,32,1,7,.143,0,1,.000,1,6,.167,1,2,.500,0,3,3,1,0,0,1,2,4
1,Melody Kempton,31,7,12,.583,7,12,.583,0,0,,0,0,,4,4,8,0,3,1,1,2,14
2,Kayleigh Truong,28,8,15,.533,6,10,.600,2,5,.400,2,2,1.000,0,5,5,4,1,0,4,2,20
3,Abby O'Connor,28,1,3,.333,0,2,.000,1,1,1.000,0,0,,2,4,6,1,1,1,1,3,3
4,Anamaria Virjoghe,20,4,5,.800,4,5,.800,0,0,,2,3,.667,0,3,3,1,0,2,0,1,10
6,Kaylynne Truong,26,0,5,.000,0,2,.000,0,3,.000,0,0,,1,2,3,6,2,0,3,3,0
7,Yvonne Ejim,23,4,5,.800,4,5,.800,0,0,,6,7,.857,1,5,6,1,0,0,3,2,14
8,McKayla Williams,7,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Eliza Hollingsworth,4,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3
10,School Totals,199,26,56,.464,21,39,.538,5,17,.294,11,14,.786,8,27,35,14,7,4,13,16,68
