,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sarah Andrews,33,7,12,.583,5,6,.833,2,6,.333,0,0,,1,6,7,6,0,0,1,0,16
1,Ja'Mee Asberry,31,2,10,.200,0,2,.000,2,8,.250,0,0,,0,4,4,3,1,0,1,1,6
2,Queen Egbo,30,4,10,.400,4,10,.400,0,0,,2,4,.500,4,10,14,2,0,2,2,1,10
3,Jordan Lewis,27,7,8,.875,5,5,1.000,2,3,.667,7,11,.636,2,6,8,5,0,0,1,0,23
4,NaLyssa Smith,22,9,13,.692,8,12,.667,1,1,1.000,2,2,1.000,3,11,14,2,0,0,2,2,21
6,Jaden Owens,28,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,2,2,1,3,0,1,0,4
7,Caitlin Bickle,18,3,6,.500,3,5,.600,0,1,.000,1,2,.500,1,2,3,0,1,1,1,4,7
8,Kendra Gillispie,10,1,3,.333,1,3,.333,0,0,,0,0,,1,2,3,1,0,0,0,2,2
9,Andrea Katramados,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0
10,School Totals,201,35,66,.530,28,45,.622,7,21,.333,12,19,.632,12,43,55,21,5,3,10,10,89
