,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jakia Brown-Turner,28,.719,.722,.778,.333,18.4,7.0,12.6,10.0,0.0,0.0,0.0,15.8,179,105,
1,Kai Crutchfield,27,.000,.000,.667,.000,0.0,14.5,7.4,20.7,5.9,4.0,0.0,4.8,103,84,
2,Raina Perez,26,1.000,1.000,.375,.000,0.0,15.1,7.7,6.1,2.0,0.0,11.1,14.9,176,94,
3,Elissa Cunane,20,.739,.600,.000,1.600,15.5,19.6,17.6,13.4,0.0,5.4,26.0,24.7,131,94,
4,Kayla Jones,16,.358,.333,.000,.833,6.4,12.3,9.4,16.2,6.6,0.0,19.6,27.4,82,85,
6,Jada Boyd,21,.545,.545,.091,.000,14.7,4.7,9.6,0.0,0.0,5.2,15.4,26.6,109,105,
7,Diamond Johnson,17,.750,.750,.625,.000,0.0,11.5,5.9,9.8,0.0,0.0,27.3,27.8,111,102,
8,Camille Hobby,13,.576,.500,.000,.333,0.0,22.6,11.6,11.6,0.0,0.0,12.7,26.0,122,94,
9,Aziaha James,13,.377,.286,.429,.286,23.8,7.5,15.5,0.0,8.1,8.4,0.0,26.0,119,81,
10,Madison Hayes,7,.769,1.000,.000,2.000,44.2,0.0,21.5,0.0,7.6,15.5,0.0,11.5,179,86,
11,Jessica Timmons,6,.250,.250,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,71,110,
12,Genesis Bryant,4,.500,.500,1.000,.000,0.0,49.0,25.1,0.0,0.0,0.0,0.0,32.2,130,75,
13,Sophie Hart,3,.000,.000,.000,.000,0.0,32.7,16.8,37.2,0.0,0.0,0.0,14.3,74,86,
14,School Totals,201,.582,.556,.347,.306,46.2,63.4,55.0,41.7,11.8,13.5,12.7,100.0,126.3,89.5,
