,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Ohio State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Mya Bhinhar,39,.000,.000,.333,.000,5.9,5.4,5.6,14.7,0.0,2.8,33.3,10.1,23,101,
1,Brice Calip,32,.473,.385,.000,.462,7.1,9.9,8.6,25.4,5.2,0.0,20.4,26.8,100,88,
2,Abigayle Jackson,26,.425,.417,.000,.167,8.8,24.3,16.9,11.6,2.1,17.1,7.2,23.3,106,79,
3,Sydney Wilson,26,.432,.333,.000,.333,13.2,8.1,10.5,8.6,0.0,0.0,36.8,18.3,72,101,
4,Jennifer Ezeh,24,.500,.500,.000,.000,9.5,0.0,4.6,0.0,0.0,0.0,42.9,12.8,63,105,
6,Ifunanya Nwachukwu,30,.610,.600,.000,1.000,19.0,42.1,31.1,7.8,1.8,3.7,21.7,13.4,114,78,
7,Mariah White,19,.201,.179,.071,.143,6.0,11.1,8.7,12.5,0.0,0.0,16.8,41.1,54,99,
8,Paige Rocca,4,.833,.833,.333,.000,28.6,26.3,27.4,0.0,0.0,0.0,25.0,43.7,113,93,
9,School Totals,200,.394,.349,.063,.270,51.4,73.7,63.0,47.6,6.9,16.7,22.8,100.0,77.8,87.5,
