,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Arizona ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sam Thomas,35,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,2,4,2,1,3,2
1,Shaina Pellington,32,10,19,.526,8,13,.615,2,6,.333,8,13,.615,0,3,3,4,4,0,0,2,30
2,Lauren Ware,32,3,6,.500,3,5,.600,0,1,.000,3,4,.750,0,7,7,2,1,1,0,3,9
3,Bendu Yeaney,23,1,5,.200,1,4,.250,0,1,.000,2,4,.500,0,1,1,1,1,0,1,5,4
4,Cate Reese,20,6,12,.500,5,10,.500,1,2,.500,3,5,.600,1,2,3,1,1,0,2,3,16
6,Madison Conner,19,1,2,.500,0,0,,1,2,.500,2,2,1.000,0,1,1,0,0,0,1,0,5
7,Koi Love,14,1,4,.250,1,3,.333,0,1,.000,0,0,,1,4,5,0,0,0,1,1,2
8,Taylor Chavez,7,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Derin Erdogan,5,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4
10,Helena Pueyo,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Ariyah Copeland,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
12,Aaronette Vonleh,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
13,Gisela Sanchez,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
14,School Totals,199,25,56,.446,21,40,.525,4,16,.250,18,28,.643,2,19,21,10,11,3,7,21,72
