,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Ohio State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Taylor Mikesell,40,7,12,.583,4,8,.500,3,4,.750,2,2,1.000,1,2,3,1,0,1,1,1,19
1,Jacy Sheldon,38,7,16,.438,6,14,.429,1,2,.500,2,2,1.000,1,5,6,4,4,0,6,3,17
2,Braxtin Miller,32,6,10,.600,6,10,.600,0,0,,0,0,,1,3,4,0,0,2,5,2,12
3,Rikki Harris,26,1,6,.167,1,3,.333,0,3,.000,2,2,1.000,0,1,1,2,3,0,0,2,4
4,Rebeka Mikulasikova,16,1,4,.250,1,3,.333,0,1,.000,1,1,1.000,2,1,3,1,0,0,3,3,3
6,Tanaya Beacham,24,4,9,.444,4,7,.571,0,2,.000,0,0,,4,6,10,1,4,1,1,2,8
7,Taylor Thierry,23,0,4,.000,0,4,.000,0,0,,0,0,,3,0,3,1,0,1,0,2,0
8,Kateri Poole,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0
9,School Totals,201,26,61,.426,22,49,.449,4,12,.333,7,7,1.000,12,18,30,10,11,5,17,17,63
