,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Miami ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Elena Tsineke,38,.557,.500,.313,.375,6.8,0.0,4.0,19.0,0.0,0.0,13.9,29.6,112,126,
1,Elisa Pinzan,38,.560,.531,.563,.125,0.0,33.5,13.9,19.0,3.1,0.0,10.6,25.9,114,115,
2,Sydni Harvey,36,.692,.643,.857,.286,0.0,0.0,0.0,5.4,1.6,0.0,27.6,15.7,104,122,
3,Bethy Mununga,36,.273,.273,.091,.000,10.8,25.3,16.8,5.4,3.2,0.0,26.7,21.7,56,116,
4,Shae Leverett,18,.000,.000,.000,.000,0.0,10.1,4.2,9.3,6.5,0.0,0.0,2.9,59,110,
6,Dulcy Fankam Mendjiadeu,22,.670,.750,.000,.250,17.6,41.3,27.4,9.8,2.6,0.0,18.4,12.9,126,115,
7,Sara Guerreiro,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,126,
8,Patience Williams,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,29.1,0.0,0.0,13.0,0,59,
9,Aerial Wilson,2,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1,138,126,
10,Cristina Bermejo,2,.000,.000,.000,.000,64.5,0.0,37.7,83.3,0.0,0.0,0.0,26.0,93,126,
11,School Totals,200,.514,.483,.373,.186,29.0,81.8,50.9,45.8,14.5,0.0,16.8,100.0,95.7,113.0,
