,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Owusu,29,5,8,.625,5,8,.625,0,0,,0,1,.000,0,2,2,8,3,0,2,1,10
1,Katie Benzan,28,3,5,.600,1,2,.500,2,3,.667,1,1,1.000,0,3,3,4,0,1,0,2,9
2,Diamond Miller,25,5,10,.500,4,7,.571,1,3,.333,2,2,1.000,2,3,5,3,2,1,4,2,13
3,Chloe Bibby,24,3,6,.500,1,2,.500,2,4,.500,1,2,.500,0,1,1,3,4,1,0,1,9
4,Mimi Collins,18,6,10,.600,5,8,.625,1,2,.500,0,0,,1,5,6,0,1,0,1,4,13
6,Faith Masonius,23,7,8,.875,7,7,1.000,0,1,.000,2,2,1.000,3,2,5,2,2,0,1,3,16
7,Angel Reese,19,8,12,.667,8,11,.727,0,1,.000,3,4,.750,3,2,5,2,0,1,0,2,19
8,Alaysia Styles,18,4,6,.667,4,6,.667,0,0,,0,1,.000,1,4,5,0,1,0,1,1,8
9,Taisiya Kozlova,12,1,2,.500,0,0,,1,2,.500,0,0,,1,2,3,0,0,0,1,2,3
10,Zoe Young,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,3,0,0
11,School Totals,201,42,68,.618,35,51,.686,7,17,.412,9,13,.692,11,24,35,22,13,4,13,18,100
