,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
0,Austin Peay ,16,53,13,39,3,14,7,9,8,12,4,4,3,20,13,42,0.1320754716981132,0.2,2010,8,14,6,11,2,4,3,5,3,5,1,1,1,7,4,21,0.2222222222222222,0.3333333333333333,1327,Michigan ,24,57,22,44,2,13,14,21,16,30,11,8,1,14,10,64,0.2456140350877192,0.7857142857142857,12,16,12,16,2,8,3,6,7,7,3,5,0,4,2,27,1.0,2.0,False,663
1,Tennessee ,31,67,26,48,5,19,8,13,21,25,18,6,5,13,14,75,0.1194029850746268,1.3846153846153846,2010,9,13,9,11,4,12,4,6,8,7,4,2,2,4,5,18,0.5714285714285714,2.0,1326,Villanova ,19,58,13,37,6,21,5,7,6,17,8,8,6,12,21,49,0.0862068965517241,0.6666666666666666,5,14,5,11,3,8,2,2,1,5,2,2,3,3,5,12,0.3333333333333333,1.0,True,663
2,Baylor ,17,45,16,38,1,7,15,20,5,23,11,5,5,20,17,50,0.3333333333333333,0.55,2010,5,13,5,13,0,2,4,6,1,5,4,1,5,5,5,14,0.4,1.5,1325,Brigham Young ,21,54,15,37,6,17,9,12,7,29,14,6,1,16,15,57,0.1666666666666666,0.875,6,17,5,12,3,7,8,8,4,9,8,3,0,5,4,21,0.4705882352941176,1.6,False,663
3,Connecticut ,28,67,25,50,3,17,11,19,12,23,20,6,3,7,15,70,0.1641791044776119,2.857142857142857,2010,14,26,11,18,3,8,5,8,5,8,4,3,2,2,4,34,0.625,2.0,1324,Villanova ,22,59,16,33,6,26,11,17,9,22,14,9,4,8,15,61,0.1864406779661017,1.75,10,22,9,16,1,6,4,7,5,9,3,6,2,2,4,25,0.6,3.0,True,663
4,Baylor ,18,53,16,41,2,12,13,20,8,28,12,4,9,12,18,51,0.2452830188679245,1.0,2010,6,13,6,13,1,5,3,8,4,8,4,2,9,5,4,15,0.6666666666666666,1.0,1323,Texas ,35,55,32,49,3,6,5,10,6,19,16,9,3,11,9,78,0.0909090909090909,1.4545454545454546,6,13,6,12,1,2,1,4,1,4,8,2,1,2,2,12,0.25,4.0,False,663
5,Duke ,15,65,12,48,3,17,15,20,16,25,7,6,4,10,16,48,0.2307692307692307,0.7,2010,4,18,3,11,1,7,7,8,3,4,2,4,1,4,5,16,0.3888888888888889,1.0,1322,Utah ,23,45,17,25,6,20,4,4,1,13,13,4,2,18,13,56,0.0888888888888888,0.7222222222222222,6,10,6,7,4,7,2,2,1,4,5,2,1,4,3,18,0.2222222222222222,2.0,False,663
6,Baylor ,26,53,23,46,3,7,22,25,5,33,18,2,13,12,12,77,0.4150943396226415,1.5,2010,8,18,8,18,1,3,11,13,3,8,7,1,10,3,4,27,1.1428571428571428,2.0,1321,Iowa State ,28,65,21,45,7,20,15,26,11,27,6,2,6,7,14,78,0.2307692307692307,0.8571428571428571,13,28,9,20,4,8,6,12,5,10,6,1,3,3,4,36,0.5,2.0,False,663
7,Tennessee ,25,76,20,60,5,16,7,15,17,22,13,5,3,8,17,62,0.0921052631578947,1.625,2010,7,22,6,16,2,6,3,6,5,5,7,1,2,2,4,18,0.1764705882352941,7.0,1320,UT Arlington ,27,62,20,46,7,16,10,16,7,26,11,6,5,9,20,71,0.1612903225806451,1.2222222222222223,6,15,6,15,2,5,7,11,3,7,4,3,2,4,5,19,0.4666666666666667,2.0,False,663
8,Bowling Green State ,19,51,8,29,11,22,13,22,10,24,12,5,1,16,15,62,0.2549019607843137,0.75,2010,5,13,3,6,5,8,6,6,4,8,7,2,1,3,3,19,0.6666666666666666,3.5,1319,Stanford ,19,51,16,34,3,17,18,22,11,31,14,4,11,17,22,59,0.3529411764705882,0.8235294117647058,7,14,5,10,2,4,10,11,3,9,4,1,6,4,4,20,0.9090909090909092,1.3333333333333333,True,663
9,Michigan State ,28,68,24,52,4,16,12,14,15,27,16,8,2,10,20,72,0.1764705882352941,1.6,2010,7,13,5,10,2,3,2,3,5,8,3,3,1,3,4,17,0.4,3.0,1318,Texas ,17,52,12,39,5,13,11,20,4,20,8,4,1,10,24,50,0.2115384615384615,0.8,6,18,5,14,1,4,4,4,1,7,6,1,1,2,5,15,0.3636363636363636,6.0,True,663
10,Chattanooga ,23,60,13,26,10,34,7,11,10,30,12,4,1,23,17,63,0.1166666666666666,0.5217391304347826,2010,6,13,6,12,4,8,2,5,3,8,3,2,1,5,4,15,1.0,0.6666666666666666,1317,Louisville ,28,67,21,44,7,23,13,21,12,19,15,11,8,7,20,76,0.1940298507462686,2.142857142857143,7,21,7,15,3,9,9,10,5,5,6,4,3,2,5,23,0.5,4.0,False,663
11,Oklahoma State ,27,70,27,55,0,15,16,23,13,23,19,13,3,10,14,70,0.2285714285714285,1.9,2010,9,25,9,20,0,5,7,10,4,5,10,3,1,4,3,25,0.6666666666666666,10.0,1316,Tennessee ,24,68,19,47,5,21,11,19,13,25,9,5,2,17,18,64,0.1617647058823529,0.5294117647058824,9,19,7,13,3,8,3,4,5,7,4,2,1,4,4,22,0.2307692307692307,1.0,True,663
12,Cleveland State ,22,59,20,44,2,15,12,16,10,22,15,8,1,24,17,58,0.2033898305084746,0.625,2010,12,23,11,18,1,5,6,7,4,6,8,4,1,6,4,31,1.0,1.6,1315,North Carolina ,26,56,17,33,9,23,18,23,9,25,16,5,3,15,16,79,0.3214285714285714,1.0666666666666669,8,15,5,9,4,7,8,8,2,9,4,2,2,5,5,28,0.5333333333333333,2.0,False,663
13,Notre Dame ,33,64,30,53,3,11,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858,2010,5,12,4,9,1,4,5,5,2,6,8,3,1,5,4,13,1.25,4.0,1314,Stephen F. Austin ,22,65,13,36,9,29,13,16,15,19,12,7,1,12,23,66,0.2,1.0,7,17,5,13,5,10,7,9,6,4,4,3,1,4,6,26,0.4117647058823529,2.0,True,663
14,Dayton ,27,65,23,52,4,13,6,10,8,25,9,6,5,15,16,64,0.0923076923076923,0.6,2010,8,11,8,9,2,3,2,3,2,9,3,1,2,3,5,17,0.25,1.0,1313,Miami ,30,56,22,34,8,22,10,11,4,22,11,7,3,12,11,78,0.1785714285714285,0.9166666666666666,5,10,4,8,3,8,3,3,1,5,3,2,0,3,2,14,0.375,3.0,False,663
15,Tennessee ,41,76,35,65,6,11,4,12,15,28,20,10,10,9,16,92,0.0526315789473684,2.2222222222222223,2010,8,16,8,16,3,4,1,3,4,8,7,3,6,2,4,17,0.1428571428571428,4.0,1312,South Florida ,24,59,15,37,9,22,9,11,9,18,11,10,0,13,14,66,0.1525423728813559,0.8461538461538461,7,16,5,11,3,9,5,6,3,7,3,2,0,4,4,21,0.3125,1.5,True,663
16,DePaul ,31,76,24,57,7,19,7,11,14,22,18,8,5,16,25,76,0.0921052631578947,1.125,2010,10,19,8,14,3,6,3,4,5,4,5,2,3,3,5,24,0.2307692307692307,1.6666666666666667,1311,Mississippi ,23,59,17,49,6,10,9,13,8,19,16,4,5,11,19,61,0.1525423728813559,1.4545454545454546,3,16,3,16,2,2,3,4,5,6,6,1,3,3,4,9,0.3333333333333333,6.0,True,663
17,Vanderbilt ,28,63,23,41,5,22,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125,2010,7,14,7,11,3,8,9,11,4,8,6,3,1,5,3,26,0.6428571428571429,3.0,1310,South Dakota ,29,52,23,38,6,14,11,15,2,25,19,9,2,10,14,75,0.2115384615384615,1.9,7,14,6,10,2,4,5,8,1,6,7,3,1,3,3,20,0.7142857142857143,3.5,True,663
18,East Tennessee State ,28,64,13,33,15,31,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666669,2010,11,18,6,10,5,8,4,7,3,6,7,2,0,5,4,30,0.3636363636363636,3.5,1309,Michigan ,20,52,17,35,3,17,9,11,11,24,10,5,2,12,17,52,0.173076923076923,0.8333333333333334,6,12,6,12,2,9,5,5,6,6,3,2,1,4,4,17,0.4166666666666667,2.0,True,663
19,Xavier ,36,82,29,56,7,26,15,19,25,25,21,11,7,14,15,94,0.1829268292682926,1.5,2010,15,23,15,21,2,11,7,10,13,8,8,3,5,5,4,31,1.0,4.0,1308,South Dakota ,19,52,14,32,5,20,6,10,6,19,12,5,0,10,16,49,0.1153846153846153,1.2,7,13,7,10,1,7,3,4,1,7,4,2,0,3,5,17,0.5,4.0,True,663
20,Florida State ,18,63,14,49,4,14,10,15,11,16,10,2,3,17,17,50,0.1587301587301587,0.5882352941176471,2010,6,14,6,14,1,5,3,4,4,4,6,1,2,5,5,15,0.2727272727272727,1.2,1307,Baylor ,17,54,12,28,5,26,8,12,9,26,15,4,3,19,22,47,0.1481481481481481,0.7894736842105263,6,12,6,10,2,8,2,3,3,7,5,2,1,5,5,13,0.2222222222222222,1.25,True,663
21,Connecticut ,32,60,26,48,6,12,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883,2010,8,16,8,16,2,4,4,8,5,9,7,2,4,4,2,22,0.3333333333333333,7.0,1306,South Dakota ,20,51,12,35,8,16,13,17,3,23,10,10,2,14,18,61,0.2549019607843137,0.7142857142857143,6,14,4,11,3,6,4,5,1,7,5,4,1,3,5,16,1.0,2.0,True,663
